CompanyName,fueltype,aspiration,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,boreratio,horsepower,citympg,highwaympg,price
dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1876,ohc,four,90,2.97,68,37,41,5572
dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1876,ohc,four,90,2.97,68,31,38,6377
dodge,gas,turbo,hatchback,fwd,front,93.7,157.3,63.8,2128,ohc,four,98,3.03,102,24,30,7957
dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1967,ohc,four,90,2.97,68,31,38,6229
dodge,gas,std,sedan,fwd,front,93.7,157.3,63.8,1989,ohc,four,90,2.97,68,31,38,6692
dodge,gas,std,sedan,fwd,front,93.7,157.3,63.8,1989,ohc,four,90,2.97,68,31,38,7609
dodge,gas,turbo,sedan,fwd,front,93.7,157.3,63.8,2191,ohc,four,98,3.03,102,24,30,8558
dodge,gas,std,wagon,fwd,front,103.3,174.6,64.6,2535,ohc,four,122,3.34,88,24,30,8921
dodge,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,2811,ohc,four,156,3.6,145,19,24,12964
honda,gas,std,hatchback,fwd,front,86.6,144.6,63.9,1713,ohc,four,92,2.91,58,49,54,6479
honda,gas,std,hatchback,fwd,front,86.6,144.6,63.9,1819,ohc,four,92,2.91,76,31,38,6855
honda,gas,std,hatchback,fwd,front,93.7,150,64,1837,ohc,four,79,2.91,60,38,42,5399
honda,gas,std,hatchback,fwd,front,93.7,150,64,1940,ohc,four,92,2.91,76,30,34,6529
honda,gas,std,hatchback,fwd,front,93.7,150,64,1956,ohc,four,92,2.91,76,30,34,7129
honda,gas,std,sedan,fwd,front,96.5,163.4,64,2010,ohc,four,92,2.91,76,30,34,7295
honda,gas,std,wagon,fwd,front,96.5,157.1,63.9,2024,ohc,four,92,2.92,76,30,34,7295
honda,gas,std,hatchback,fwd,front,96.5,167.5,65.2,2236,ohc,four,110,3.15,86,27,33,7895
honda,gas,std,hatchback,fwd,front,96.5,167.5,65.2,2289,ohc,four,110,3.15,86,27,33,9095
honda,gas,std,sedan,fwd,front,96.5,175.4,65.2,2304,ohc,four,110,3.15,86,27,33,8845
honda,gas,std,sedan,fwd,front,96.5,175.4,62.5,2372,ohc,four,110,3.15,86,27,33,10295
honda,gas,std,sedan,fwd,front,96.5,175.4,65.2,2465,ohc,four,110,3.15,101,24,28,12945
honda,gas,std,sedan,fwd,front,96.5,169.1,66,2293,ohc,four,110,3.15,100,25,31,10345
isuzu,gas,std,sedan,rwd,front,94.3,170.7,61.8,2337,ohc,four,111,3.31,78,24,29,6785
isuzu,gas,std,sedan,fwd,front,94.5,155.9,63.6,1874,ohc,four,90,3.03,70,38,43,8916.5
isuzu,gas,std,sedan,fwd,front,94.5,155.9,63.6,1909,ohc,four,90,3.03,70,38,43,8916.5
isuzu,gas,std,hatchback,rwd,front,96,172.6,65.2,2734,ohc,four,119,3.43,90,24,29,11048
jaguar,gas,std,sedan,rwd,front,113,199.6,69.6,4066,dohc,six,258,3.63,176,15,19,32250
jaguar,gas,std,sedan,rwd,front,113,199.6,69.6,4066,dohc,six,258,3.63,176,15,19,35550
jaguar,gas,std,sedan,rwd,front,102,191.7,70.6,3950,ohcv,twelve,326,3.54,262,13,17,36000
mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,1890,ohc,four,91,3.03,68,30,31,5195
mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,1900,ohc,four,91,3.03,68,31,38,6095
mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,1905,ohc,four,91,3.03,68,31,38,6795
mazda,gas,std,sedan,fwd,front,93.1,166.8,64.2,1945,ohc,four,91,3.03,68,31,38,6695
mazda,gas,std,sedan,fwd,front,93.1,166.8,64.2,1950,ohc,four,91,3.08,68,31,38,7395
mazda,gas,std,hatchback,rwd,front,95.3,169,65.7,2380,rotor,two,70,3.33,101,17,23,10945
mazda,gas,std,hatchback,rwd,front,95.3,169,65.7,2380,rotor,two,70,3.33,101,17,23,11845
mazda,gas,std,hatchback,rwd,front,95.3,169,65.7,2385,rotor,two,70,3.33,101,17,23,13645
mazda,gas,std,hatchback,rwd,front,95.3,169,65.7,2500,rotor,two,80,3.33,135,16,23,15645
mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,2385,ohc,four,122,3.39,84,26,32,8845
mazda,gas,std,sedan,fwd,front,98.8,177.8,66.5,2410,ohc,four,122,3.39,84,26,32,8495
mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,2385,ohc,four,122,3.39,84,26,32,10595
mazda,gas,std,sedan,fwd,front,98.8,177.8,66.5,2410,ohc,four,122,3.39,84,26,32,10245
mazda,diesel,std,sedan,fwd,front,98.8,177.8,66.5,2443,ohc,four,122,3.39,64,36,42,10795
mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,2425,ohc,four,122,3.39,84,26,32,11245
mazda,gas,std,sedan,rwd,front,104.9,175,66.1,2670,ohc,four,140,3.76,120,19,27,18280
mazda,diesel,std,sedan,rwd,front,104.9,175,66.1,2700,ohc,four,134,3.43,72,31,39,18344
buick,diesel,turbo,sedan,rwd,front,110,190.9,70.3,3515,ohc,five,183,3.58,123,22,25,25552
buick,diesel,turbo,wagon,rwd,front,110,190.9,70.3,3750,ohc,five,183,3.58,123,22,25,28248
buick,diesel,turbo,hardtop,rwd,front,106.7,187.5,70.3,3495,ohc,five,183,3.58,123,22,25,28176
buick,diesel,turbo,sedan,rwd,front,115.6,202.6,71.7,3770,ohc,five,183,3.58,123,22,25,31600
buick,gas,std,sedan,rwd,front,115.6,202.6,71.7,3740,ohcv,eight,234,3.46,155,16,18,34184
buick,gas,std,convertible,rwd,front,96.6,180.3,70.5,3685,ohcv,eight,234,3.46,155,16,18,35056
buick,gas,std,sedan,rwd,front,120.9,208.1,71.7,3900,ohcv,eight,308,3.8,184,14,16,40960
buick,gas,std,hardtop,rwd,front,112,199.2,72,3715,ohcv,eight,304,3.8,184,14,16,45400
mercury,gas,turbo,hatchback,rwd,front,102.7,178.4,68,2910,ohc,four,140,3.78,175,19,24,16503
mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,1918,ohc,four,92,2.97,68,37,41,5389
mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,1944,ohc,four,92,2.97,68,31,38,6189
mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,2004,ohc,four,92,2.97,68,31,38,6669
mitsubishi,gas,turbo,hatchback,fwd,front,93,157.3,63.8,2145,ohc,four,98,3.03,102,24,30,7689
mitsubishi,gas,turbo,hatchback,fwd,front,96.3,173,65.4,2370,ohc,four,110,3.17,116,23,30,9959
mitsubishi,gas,std,hatchback,fwd,front,96.3,173,65.4,2328,ohc,four,122,3.35,88,25,32,8499
mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,2833,ohc,four,156,3.58,145,19,24,12629
mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,2921,ohc,four,156,3.59,145,19,24,14869
mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,2926,ohc,four,156,3.59,145,19,24,14489
mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,2365,ohc,four,122,3.35,88,25,32,6989
mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,2405,ohc,four,122,3.35,88,25,32,8189
mitsubishi,gas,turbo,sedan,fwd,front,96.3,172.4,65.4,2403,ohc,four,110,3.17,116,23,30,9279
mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,2403,ohc,four,110,3.17,116,23,30,9279
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1889,ohc,four,97,3.15,69,31,37,5499
nissan,diesel,std,sedan,fwd,front,94.5,165.3,63.8,2017,ohc,four,103,2.99,55,45,50,7099
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1918,ohc,four,97,3.15,69,31,37,6649
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1938,ohc,four,97,3.15,69,31,37,6849
nissan,gas,std,wagon,fwd,front,94.5,170.2,63.8,2024,ohc,four,97,3.15,69,31,37,7349
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1951,ohc,four,97,3.15,69,31,37,7299
nissan,gas,std,hatchback,fwd,front,94.5,165.6,63.8,2028,ohc,four,97,3.15,69,31,37,7799
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1971,ohc,four,97,3.15,69,31,37,7499
nissan,gas,std,wagon,fwd,front,94.5,170.2,63.8,2037,ohc,four,97,3.15,69,31,37,7999
nissan,gas,std,hardtop,fwd,front,95.1,162.4,63.8,2008,ohc,four,97,3.15,69,31,37,8249
nissan,gas,std,hatchback,fwd,front,97.2,173.4,65.2,2324,ohc,four,120,3.33,97,27,34,8949
nissan,gas,std,sedan,fwd,front,97.2,173.4,65.2,2302,ohc,four,120,3.33,97,27,34,9549
nissan,gas,std,sedan,fwd,front,100.4,181.7,66.5,3095,ohcv,six,181,3.43,152,17,22,13499
nissan,gas,std,wagon,fwd,front,100.4,184.6,66.5,3296,ohcv,six,181,3.43,152,17,22,14399
nissan,gas,std,sedan,fwd,front,100.4,184.6,66.5,3060,ohcv,six,181,3.43,152,19,25,13499
nissan,gas,std,hatchback,rwd,front,91.3,170.7,67.9,3071,ohcv,six,181,3.43,160,19,25,17199
nissan,gas,turbo,hatchback,rwd,front,91.3,170.7,67.9,3139,ohcv,six,181,3.43,200,17,23,19699
nissan,gas,std,hatchback,rwd,front,99.2,178.5,67.9,3139,ohcv,six,181,3.43,160,19,25,18399
peugeot,gas,std,sedan,rwd,front,107.9,186.7,68.4,3020,l,four,120,3.46,97,19,24,11900
peugeot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,3197,l,four,152,3.7,95,28,33,13200
peugeot,gas,std,wagon,rwd,front,114.2,198.9,68.4,3230,l,four,120,3.46,97,19,24,12440
peugeot,diesel,turbo,wagon,rwd,front,114.2,198.9,68.4,3430,l,four,152,3.7,95,25,25,13860
peugeot,gas,std,sedan,rwd,front,107.9,186.7,68.4,3075,l,four,120,3.46,95,19,24,15580
peugeot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,3252,l,four,152,3.7,95,28,33,16900
peugeot,gas,std,wagon,rwd,front,114.2,198.9,68.4,3285,l,four,120,3.46,95,19,24,16695
peugeot,diesel,turbo,wagon,rwd,front,114.2,198.9,68.4,3485,l,four,152,3.7,95,25,25,17075
peugeot,gas,std,sedan,rwd,front,107.9,186.7,68.4,3075,l,four,120,3.46,97,19,24,16630
peugeot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,3252,l,four,152,3.7,95,28,33,17950
peugeot,gas,turbo,sedan,rwd,front,108,186.7,68.3,3130,l,four,134,3.61,142,18,24,18150
plymouth,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1918,ohc,four,90,2.97,68,37,41,5572
plymouth,gas,turbo,hatchback,fwd,front,93.7,157.3,63.8,2128,ohc,four,98,3.03,102,24,30,7957
plymouth,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1967,ohc,four,90,2.97,68,31,38,6229
plymouth,gas,std,sedan,fwd,front,93.7,167.3,63.8,1989,ohc,four,90,2.97,68,31,38,6692
plymouth,gas,std,sedan,fwd,front,93.7,167.3,63.8,2191,ohc,four,98,2.97,68,31,38,7609
plymouth,gas,std,wagon,fwd,front,103.3,174.6,64.6,2535,ohc,four,122,3.35,88,24,30,8921
plymouth,gas,turbo,hatchback,rwd,front,95.9,173.2,66.3,2818,ohc,four,156,3.59,145,19,24,12764
porsche,gas,std,hatchback,rwd,front,94.5,168.9,68.3,2778,ohc,four,151,3.94,143,19,27,22018
porsche,gas,std,hardtop,rwd,rear,89.5,168.9,65,2756,ohcf,six,194,3.74,207,17,25,32528
porsche,gas,std,hardtop,rwd,rear,89.5,168.9,65,2756,ohcf,six,194,3.74,207,17,25,34028
porsche,gas,std,convertible,rwd,rear,89.5,168.9,65,2800,ohcf,six,194,3.74,207,17,25,37028
porsche,gas,std,hatchback,rwd,front,98.4,175.7,72.3,3366,dohcv,eight,203,3.94,288,17,28,31400.5
renault,gas,std,wagon,fwd,front,96.1,181.5,66.5,2579,ohc,four,132,3.46,90,23,31,9295
renault,gas,std,hatchback,fwd,front,96.1,176.8,66.6,2460,ohc,four,132,3.46,90,23,31,9895
saab,gas,std,hatchback,fwd,front,99.1,186.6,66.5,2658,ohc,four,121,3.54,110,21,28,11850
saab,gas,std,sedan,fwd,front,99.1,186.6,66.5,2695,ohc,four,121,3.54,110,21,28,12170
saab,gas,std,hatchback,fwd,front,99.1,186.6,66.5,2707,ohc,four,121,2.54,110,21,28,15040
saab,gas,std,sedan,fwd,front,99.1,186.6,66.5,2758,ohc,four,121,3.54,110,21,28,15510
saab,gas,turbo,hatchback,fwd,front,99.1,186.6,66.5,2808,dohc,four,121,3.54,160,19,26,18150
saab,gas,turbo,sedan,fwd,front,99.1,186.6,66.5,2847,dohc,four,121,3.54,160,19,26,18620
subaru,gas,std,hatchback,fwd,front,93.7,156.9,63.4,2050,ohcf,four,97,3.62,69,31,36,5118
subaru,gas,std,hatchback,fwd,front,93.7,157.9,63.6,2120,ohcf,four,108,3.62,73,26,31,7053
subaru,gas,std,hatchback,4wd,front,93.3,157.3,63.8,2240,ohcf,four,108,3.62,73,26,31,7603
subaru,gas,std,sedan,fwd,front,97.2,172,65.4,2145,ohcf,four,108,3.62,82,32,37,7126
subaru,gas,std,sedan,fwd,front,97.2,172,65.4,2190,ohcf,four,108,3.62,82,28,33,7775
subaru,gas,std,sedan,fwd,front,97.2,172,65.4,2340,ohcf,four,108,3.62,94,26,32,9960
subaru,gas,std,sedan,4wd,front,97,172,65.4,2385,ohcf,four,108,3.62,82,24,25,9233
subaru,gas,turbo,sedan,4wd,front,97,172,65.4,2510,ohcf,four,108,3.62,111,24,29,11259
subaru,gas,std,wagon,fwd,front,97,173.5,65.4,2290,ohcf,four,108,3.62,82,28,32,7463
subaru,gas,std,wagon,fwd,front,97,173.5,65.4,2455,ohcf,four,108,3.62,94,25,31,10198
subaru,gas,std,wagon,4wd,front,96.9,173.6,65.4,2420,ohcf,four,108,3.62,82,23,29,8013
subaru,gas,turbo,wagon,4wd,front,96.9,173.6,65.4,2650,ohcf,four,108,3.62,111,23,23,11694
toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,1985,ohc,four,92,3.05,62,35,39,5348
toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,2040,ohc,four,92,3.05,62,31,38,6338
toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,2015,ohc,four,92,3.05,62,31,38,6488
toyota,gas,std,wagon,fwd,front,95.7,169.7,63.6,2280,ohc,four,92,3.05,62,31,37,6918
toyota,gas,std,wagon,4wd,front,95.7,169.7,63.6,2290,ohc,four,92,3.05,62,27,32,7898
toyota,gas,std,wagon,4wd,front,95.7,169.7,63.6,3110,ohc,four,92,3.05,62,27,32,8778
toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,2081,ohc,four,98,3.19,70,30,37,6938
toyota,gas,std,hatchback,fwd,front,95.7,166.3,64.4,2109,ohc,four,98,3.19,70,30,37,7198
toyota,diesel,std,sedan,fwd,front,95.7,166.3,64.4,2275,ohc,four,110,3.27,56,34,36,7898
toyota,diesel,std,hatchback,fwd,front,95.7,166.3,64.4,2275,ohc,four,110,3.27,56,38,47,7788
toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,2094,ohc,four,98,3.19,70,38,47,7738
toyota,gas,std,hatchback,fwd,front,95.7,166.3,64.4,2122,ohc,four,98,3.19,70,28,34,8358
toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,2140,ohc,four,98,3.19,70,28,34,9258
toyota,gas,std,sedan,rwd,front,94.5,168.7,64,2169,ohc,four,98,3.19,70,29,34,8058
toyota,gas,std,hatchback,rwd,front,94.5,168.7,64,2204,ohc,four,98,3.19,70,29,34,8238
toyota,gas,std,sedan,rwd,front,94.5,168.7,64,2265,dohc,four,98,3.24,112,26,29,9298
toyota,gas,std,hatchback,rwd,front,94.5,168.7,64,2300,dohc,four,98,3.24,112,26,29,9538
toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,2540,ohc,four,146,3.62,116,24,30,8449
toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,2536,ohc,four,146,3.62,116,24,30,9639
toyota,gas,std,hatchback,rwd,front,98.4,176.2,65.6,2551,ohc,four,146,3.62,116,24,30,9989
toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,2679,ohc,four,146,3.62,116,24,30,11199
toyota,gas,std,hatchback,rwd,front,98.4,176.2,65.6,2714,ohc,four,146,3.62,116,24,30,11549
toyota,gas,std,convertible,rwd,front,98.4,176.2,65.6,2975,ohc,four,146,3.62,116,24,30,17669
toyota,gas,std,sedan,fwd,front,102.4,175.6,66.5,2326,ohc,four,122,3.31,92,29,34,8948
toyota,diesel,turbo,sedan,fwd,front,102.4,175.6,66.5,2480,ohc,four,110,3.27,73,30,33,10698
toyota,gas,std,hatchback,fwd,front,102.4,175.6,66.5,2414,ohc,four,122,3.31,92,27,32,9988
toyota,gas,std,sedan,fwd,front,102.4,175.6,66.5,2414,ohc,four,122,3.31,92,27,32,10898
toyota,gas,std,hatchback,fwd,front,102.4,175.6,66.5,2458,ohc,four,122,3.31,92,27,32,11248
toyota,gas,std,hatchback,rwd,front,102.9,183.5,67.7,2976,dohc,six,171,3.27,161,20,24,16558
toyota,gas,std,hatchback,rwd,front,102.9,183.5,67.7,3016,dohc,six,171,3.27,161,19,24,15998
toyota,gas,std,sedan,rwd,front,104.5,187.8,66.5,3131,dohc,six,171,3.27,156,20,24,15690
toyota,gas,std,wagon,rwd,front,104.5,187.8,66.5,3151,dohc,six,161,3.27,156,19,24,15750
volkswagen,diesel,std,sedan,fwd,front,97.3,171.7,65.5,2261,ohc,four,97,3.01,52,37,46,7775
volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,2209,ohc,four,109,3.19,85,27,34,7975
volkswagen,diesel,std,sedan,fwd,front,97.3,171.7,65.5,2264,ohc,four,97,3.01,52,37,46,7995
volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,2212,ohc,four,109,3.19,85,27,34,8195
volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,2275,ohc,four,109,3.19,85,27,34,8495
volkswagen,diesel,turbo,sedan,fwd,front,97.3,171.7,65.5,2319,ohc,four,97,3.01,68,37,42,9495
volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,2300,ohc,four,109,3.19,100,26,32,9995
volkswagen,gas,std,convertible,fwd,front,94.5,159.3,64.2,2254,ohc,four,109,3.19,90,24,29,11595
volkswagen,gas,std,hatchback,fwd,front,94.5,165.7,64,2221,ohc,four,109,3.19,90,24,29,9980
volkswagen,gas,std,sedan,fwd,front,100.4,180.2,66.9,2661,ohc,five,136,3.19,110,19,24,13295
volkswagen,diesel,turbo,sedan,fwd,front,100.4,180.2,66.9,2579,ohc,four,97,3.01,68,33,38,13845
volkswagen,gas,std,wagon,fwd,front,100.4,183.1,66.9,2563,ohc,four,109,3.19,88,25,31,12290
volvo,gas,std,sedan,rwd,front,104.3,188.8,67.2,2912,ohc,four,141,3.78,114,23,28,12940
volvo,gas,std,wagon,rwd,front,104.3,188.8,67.2,3034,ohc,four,141,3.78,114,23,28,13415
volvo,gas,std,sedan,rwd,front,104.3,188.8,67.2,2935,ohc,four,141,3.78,114,24,28,15985
volvo,gas,std,wagon,rwd,front,104.3,188.8,67.2,3042,ohc,four,141,3.78,114,24,28,16515
volvo,gas,turbo,sedan,rwd,front,104.3,188.8,67.2,3045,ohc,four,130,3.62,162,17,22,18420
volvo,gas,turbo,wagon,rwd,front,104.3,188.8,67.2,3157,ohc,four,130,3.62,162,17,22,18950
volvo,gas,std,sedan,rwd,front,109.1,188.8,68.9,2952,ohc,four,141,3.78,114,23,28,16845
volvo,gas,turbo,sedan,rwd,front,109.1,188.8,68.8,3049,ohc,four,141,3.78,160,19,25,19045
volvo,gas,std,sedan,rwd,front,109.1,188.8,68.9,3012,ohcv,six,173,3.58,134,18,23,21485
volvo,diesel,turbo,sedan,rwd,front,109.1,188.8,68.9,3217,ohc,six,145,3.01,106,26,27,22470
volvo,gas,turbo,sedan,rwd,front,109.1,188.8,68.9,3062,ohc,four,141,3.78,114,19,25,22625
